Offence,Defence,Week,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att
Vikings,Falcons,9,31,13,236,2,146,4,3,7,16,1,1
Cardinals,Falcons,10,25,10,249,1,122,2,3,3,11,1,1
Saints,Falcons,12,15,10,304,2,148,1,1,6,14,0,0
Jets,Falcons,13,8,13,214,3,62,4,7,2,15,2,3
Falcons,Panthers,1,24,13,115,0,130,4,7,2,10,0,0
Saints,Panthers,2,20,11,236,1,134,4,5,7,16,0,0
Seahawks,Panthers,3,37,13,296,1,146,2,2,3,13,1,1
Vikings,Panthers,4,21,9,139,2,135,2,4,1,8,1,2
Lions,Panthers,5,42,11,236,0,159,2,2,4,10,1,2
Dolphins,Panthers,6,42,12,262,1,162,0,4,7,13,0,0
Texans,Panthers,8,13,9,140,1,110,2,6,5,12,1,1
Colts,Panthers,9,27,9,127,1,78,1,5,4,13,0,0
Bears,Panthers,10,16,11,162,0,133,0,6,6,15,1,1
Cowboys,Panthers,11,33,9,204,0,107,0,3,7,16,0,0
Titans,Panthers,12,17,11,185,0,80,1,7,2,11,1,1
Buccs,Panthers,13,21,13,202,1,128,1,8,6,15,0,0
Titans,Saints,1,15,12,198,3,104,3,3,2,12,0,0
Panthers,Saints,2,17,11,153,1,100,4,5,4,14,1,1
Packers,Saints,3,18,12,259,1,95,1,4,8,18,1,3
Buccs,Saints,4,26,11,246,1,114,1,4,8,15,0,0
Patriots,Saints,5,0,14,132,3,45,2,8,1,14,0,2
Texans,Saints,6,20,12,199,1,120,2,5,4,11,0,0
Jaguars,Saints,7,31,12,223,2,113,1,4,3,18,4,6
Colts,Saints,8,27,12,213,1,164,2,5,7,16,1,1
Bears,Saints,9,17,11,220,5,156,2,2,6,12,1,1
Vikings,Saints,10,27,12,268,0,125,1,6,6,15,0,0
Falcons,Saints,12,24,9,168,2,228,0,2,4,8,0,1
Lions,Saints,13,33,12,213,0,142,1,5,6,13,0,0
Vikings,Buccs,1,17,11,344,3,41,2,5,6,14,0,0
Bears,Buccs,2,17,10,211,2,67,6,5,6,13,0,0
Eagles,Buccs,3,25,10,277,2,201,1,1,10,16,2,3
Saints,Buccs,4,9,11,140,3,70,3,4,5,14,1,2
Lions,Buccs,6,20,11,353,0,40,3,4,9,16,0,0
Falcons,Buccs,7,16,10,250,3,156,1,3,7,13,0,0
Bills,Buccs,8,24,11,324,1,115,2,4,7,13,0,1
Texans,Buccs,9,39,12,470,1,53,3,3,3,11,1,1
Titans,Buccs,10,6,11,199,1,42,4,4,6,15,0,2
49ers,Buccs,11,27,10,333,0,115,4,3,4,10,0,1
Colts,Buccs,12,27,11,251,1,155,2,2,2,11,3,4
Panthers,Buccs,13,18,13,178,1,133,4,8,3,15,1,3
Commanders,Cardinals,1,20,13,202,3,92,6,6,4,12,0,0
Giants,Cardinals,2,31,10,321,1,127,3,3,7,12,1,1
Cowboys,Cardinals,3,16,8,249,1,185,2,2,9,16,0,1
49ers,Cardinals,4,35,8,283,0,124,1,1,3,5,1,1
Bengals,Cardinals,5,34,12,317,1,93,3,3,5,14,0,3
Rams,Cardinals,6,26,10,226,1,179,3,4,4,12,0,0
Seahawks,Cardinals,7,20,10,219,3,115,2,3,7,13,0,0
Ravens,Cardinals,8,31,12,157,0,130,4,5,4,11,0,0
Browns,Cardinals,9,27,14,219,0,113,1,7,6,17,1,2
Falcons,Cardinals,10,23,10,94,0,184,3,4,7,14,1,2
Texans,Cardinals,11,21,11,338,3,111,4,2,9,13,0,1
Rams,Cardinals,12,37,10,229,1,228,0,2,6,12,2,2
Steelers,Cardinals,13,10,10,187,1,130,0,4,4,11,0,1
Seahawks,Rams,1,13,9,112,0,85,2,4,2,9,0,0
49ers,Rams,2,30,10,206,0,159,1,4,2,9,0,0
Bengals,Rams,3,19,13,259,1,67,2,5,5,17,1,1
Eagles,Rams,5,23,8,303,1,159,1,1,13,18,0,1
Cardinals,Rams,6,9,12,235,2,130,2,3,6,16,2,4
Steelers,Rams,7,24,11,230,0,86,2,5,4,12,1,1
Cowboys,Rams,8,43,11,307,1,102,3,2,6,12,1,1
Packers,Rams,9,20,12,228,2,184,4,4,7,14,1,1
Seahawks,Rams,11,16,11,236,1,68,2,4,5,15,2,2
Cardinals,Rams,12,14,11,256,0,73,4,5,6,17,2,3
Browns,Rams,13,19,12,254,1,87,2,5,7,16,0,2
Steelers,49ers,1,7,11,232,2,41,5,6,5,15,1,3
Rams,49ers,2,23,10,307,2,89,1,2,7,14,1,2
Giants,49ers,3,12,10,137,1,29,2,6,3,12,0,0
Cardinals,49ers,4,16,7,265,0,105,1,3,8,15,2,3
Cowboys,49ers,5,10,13,161,4,57,4,5,4,11,0,1
Browns,49ers,6,19,13,192,2,160,2,4,3,13,1,1
Vikings,49ers,7,22,9,378,1,74,0,1,8,13,0,0
Bengals,49ers,8,31,10,283,1,134,3,3,3,8,0,0
Jaguars,49ers,10,3,10,171,4,59,2,3,4,12,1,2
Buccs,49ers,11,14,10,246,2,66,4,3,7,14,1,3
Seahawks,49ers,12,13,10,180,2,88,6,5,3,11,0,1
Eagles,49ers,13,19,9,314,0,46,3,3,8,15,1,2
Rams,Seahawks,1,30,9,334,0,92,0,1,11,17,1,1
Panthers,Seahawks,3,27,12,361,0,44,3,5,10,19,0,1
Giants,Seahawks,4,3,12,203,3,112,11,5,6,16,2,4
Bengals,Seahawks,6,17,11,185,1,46,3,6,3,11,0,0
Cardinals,Seahawks,7,10,11,150,0,127,4,5,5,15,0,3
Browns,Seahawks,8,20,12,257,3,155,3,3,6,15,0,1
Ravens,Seahawks,9,37,12,225,2,298,1,2,6,13,1,2
Commanders,Seahawks,10,26,11,312,1,68,3,5,7,15,1,1
Rams,Seahawks,11,17,11,190,1,82,1,5,2,9,0,1
49ers,Seahawks,12,31,12,209,1,169,1,5,5,11,0,0
Cowboys,Seahawks,13,41,11,299,0,136,4,0,8,14,1,2
