Team,Week,3rd downs Att,3rd dwns Conv,4th downs Att,4th downs Conv,Passing Yards,Punts,Rushing,Sacks,Total drives,Turnovers
chargers,16,13.76923076923077,5.846153846153846,1.8461538461538463,0.6923076923076923,254.92307692307693,4.3076923076923075,98.38461538461539,2.3846153846153846,11.307692307692308,1.4615384615384615
cowboys,16,13.857142857142858,6.714285714285714,1.4285714285714286,0.7142857142857143,265.92857142857144,2.642857142857143,116.5,2.357142857142857,10.142857142857142,0.8571428571428571
broncos,16,12.714285714285714,4.714285714285714,1.0,0.6428571428571429,202.28571428571428,4.428571428571429,112.71428571428571,2.857142857142857,11.0,1.3571428571428572
commanders,16,12.923076923076923,4.6923076923076925,1.6153846153846154,0.7692307692307693,263.46153846153845,4.384615384615385,89.38461538461539,4.153846153846154,11.846153846153847,1.9230769230769231
49ers,16,10.428571428571429,5.0,0.5714285714285714,0.35714285714285715,273.0,3.2142857142857144,139.92857142857142,1.8571428571428572,10.785714285714286,0.8571428571428571
steelers,16,13.571428571428571,4.714285714285714,1.1428571428571428,0.5,193.21428571428572,5.5,110.0,2.2142857142857144,11.5,1.0
texans,16,13.692307692307692,5.461538461538462,1.2307692307692308,0.46153846153846156,281.61538461538464,4.538461538461538,96.61538461538461,2.8461538461538463,11.384615384615385,0.8461538461538461
bengals,16,12.5,4.25,1.0,0.5,239.83333333333334,4.833333333333333,78.75,2.5833333333333335,10.916666666666666,0.8333333333333334
browns,16,15.428571428571429,4.785714285714286,1.7142857142857142,0.9285714285714286,225.85714285714286,5.5,123.71428571428571,2.857142857142857,13.214285714285714,2.142857142857143
falcons,16,13.428571428571429,5.5,1.1428571428571428,0.5,217.71428571428572,4.571428571428571,126.42857142857143,2.5714285714285716,11.5,1.5
buccs,16,13.785714285714286,5.714285714285714,1.0714285714285714,0.7142857142857143,236.78571428571428,4.571428571428571,90.64285714285714,2.357142857142857,10.714285714285714,1.0
seahawks,16,12.461538461538462,4.153846153846154,1.1538461538461537,0.38461538461538464,241.0,4.0,93.38461538461539,2.5384615384615383,11.076923076923077,1.2307692307692308
patriots,16,13.214285714285714,4.214285714285714,1.5714285714285714,0.6428571428571429,202.78571428571428,5.571428571428571,98.35714285714286,2.5714285714285716,11.642857142857142,1.5714285714285714
raiders,16,12.571428571428571,4.428571428571429,1.5,0.8571428571428571,212.57142857142858,4.285714285714286,89.5,2.357142857142857,10.571428571428571,1.5714285714285714
chiefs,16,12.571428571428571,5.857142857142857,0.9285714285714286,0.35714285714285715,276.85714285714283,3.4285714285714284,102.07142857142857,1.5,10.571428571428571,1.7857142857142858
bills,16,12.76923076923077,6.384615384615385,1.0,0.6153846153846154,254.23076923076923,2.8461538461538463,135.0,1.0769230769230769,10.692307692307692,1.3076923076923077
dolphins,16,11.714285714285714,4.928571428571429,1.4285714285714286,0.6428571428571429,263.07142857142856,3.0714285714285716,134.5,1.8571428571428572,11.285714285714286,1.5714285714285714
eagles,16,13.75,6.916666666666667,1.6666666666666667,1.1666666666666667,238.33333333333334,3.0,125.58333333333333,2.3333333333333335,10.333333333333334,1.5833333333333333
giants,16,14.23076923076923,4.461538461538462,2.230769230769231,1.0769230769230769,194.30769230769232,5.230769230769231,103.92307692307692,5.538461538461538,11.384615384615385,1.2307692307692308
jets,16,13.333333333333334,3.4166666666666665,1.8333333333333333,1.1666666666666667,203.75,5.5,80.08333333333333,4.5,11.583333333333334,2.0833333333333335
cardinals,16,13.285714285714286,5.071428571428571,2.0714285714285716,0.7857142857142857,193.28571428571428,3.9285714285714284,131.78571428571428,2.7142857142857144,10.785714285714286,1.2142857142857142
vikings,16,13.76923076923077,5.538461538461538,1.6923076923076923,1.1538461538461537,262.3076923076923,3.6153846153846154,95.15384615384616,2.4615384615384617,10.538461538461538,1.8461538461538463
panthers,16,15.071428571428571,5.428571428571429,2.7142857142857144,1.2142857142857142,194.78571428571428,4.785714285714286,106.07142857142857,3.857142857142857,10.785714285714286,1.2142857142857142
lions,16,13.76923076923077,5.846153846153846,2.3076923076923075,1.0769230769230769,261.84615384615387,3.3846153846153846,143.92307692307693,2.0,11.076923076923077,1.3076923076923077
colts,16,13.454545454545455,5.090909090909091,2.090909090909091,1.0909090909090908,234.27272727272728,3.8181818181818183,116.27272727272727,2.090909090909091,11.272727272727273,1.5454545454545454
packers,16,13.214285714285714,5.785714285714286,1.6428571428571428,0.8571428571428571,241.57142857142858,3.7142857142857144,103.0,2.0,10.5,1.1428571428571428
rams,16,13.333333333333334,5.666666666666667,1.1666666666666667,0.6666666666666666,239.91666666666666,3.8333333333333335,117.16666666666667,1.9166666666666667,10.583333333333334,1.0833333333333333
jaguars,16,13.307692307692308,4.538461538461538,2.3076923076923075,1.2307692307692308,253.76923076923077,4.538461538461538,100.07692307692308,2.1538461538461537,11.76923076923077,1.8461538461538463
bears,16,14.0,5.785714285714286,1.6428571428571428,0.7857142857142857,202.5,3.9285714285714284,134.42857142857142,2.9285714285714284,11.071428571428571,1.7142857142857142
saints,16,14.0,5.357142857142857,1.0714285714285714,0.5714285714285714,245.28571428571428,4.5,103.21428571428571,2.0714285714285716,11.5,1.2142857142857142
ravens,16,12.333333333333334,5.416666666666667,0.8333333333333334,0.4166666666666667,218.75,3.6666666666666665,164.0,2.3333333333333335,11.0,1.0833333333333333
titans,16,12.0,3.727272727272727,1.0,0.6363636363636364,208.1818181818182,4.454545454545454,101.0909090909091,2.909090909090909,10.181818181818182,1.0909090909090908
patriots,17,13.2,4.133333333333334,1.4666666666666666,0.6,206.33333333333334,5.666666666666667,95.73333333333333,2.533333333333333,11.733333333333333,1.5333333333333334
ravens,17,12.23076923076923,5.3076923076923075,0.8461538461538461,0.46153846153846156,221.30769230769232,3.6153846153846154,159.23076923076923,2.3076923076923075,11.076923076923077,1.0
bills,17,12.571428571428571,6.285714285714286,0.9285714285714286,0.5714285714285714,253.0,2.9285714285714284,132.85714285714286,1.0714285714285714,10.642857142857142,1.4285714285714286
browns,17,15.466666666666667,4.866666666666666,2.0,1.1333333333333333,235.73333333333332,5.333333333333333,119.06666666666666,2.7333333333333334,13.2,2.1333333333333333
dolphins,17,11.8,5.0,1.4,0.6,260.3333333333333,3.0,130.66666666666666,1.8,11.2,1.4666666666666666
chiefs,17,12.8,5.8,1.2,0.5333333333333333,274.8,3.466666666666667,100.93333333333334,1.6666666666666667,10.6,1.8
jets,17,13.538461538461538,3.4615384615384617,1.8461538461538463,1.1538461538461537,204.76923076923077,5.538461538461538,86.53846153846153,4.153846153846154,11.923076923076923,2.076923076923077
seahawks,17,12.5,4.357142857142857,1.0714285714285714,0.35714285714285715,240.0,3.9285714285714284,90.85714285714286,2.5714285714285716,10.785714285714286,1.1428571428571428
